road_type,traffic_density,avg_speed,weather_condition,num_lanes,road_surface,lighting,accident_risk
Urban,260.87081455467944,89.20750919082099,Rainy,5,poor,Daylight,
Highway,316.08551701546014,104.59317856592492,Rainy,3,Good,Night,0.6102605263840215
Rural,449.0784062742232,55.65754992828726,Rainy,2,Fair,Daylight,0.6332022291549362
Urban,449.98479427703876,43.26244460093747,Rainy,4,Fair,Daylight,0.7257716969073278
Urban,385.58018015661156,82.64931318352049,Foggy,1,poor,Night,
Urban,65.82064642182564,112.12151001062855,Rainy,5,Fair,Daylight,0.33517694377738505
Urban,308.7816885884367,38.32933635594216,Rainy,2,Fair,Daylight,0.5549857953484673
Urban,403.96256187417794,100.30193822993665,Rainy,2,Fair,Night,0.7422690292669891
Urban,57.77962014351344,67.66071814874842,Clear,1,Fair,Night,0.38738843768384623
Rural,297.35807614546025,99.95125039620918,Clear,3,Good,Night,0.33805846495468594
Rural,435.99386560371323,70.55411497732909,Foggy,1,Fair,Daylight,0.7489541634058512
Urban,263.3459341290201,57.73277743022193,Rainy,3,poor,Daylight,
Rural,51.84779130385181,89.67410002096508,Rainy,2,Good,Daylight,0.4033697125607088
Highway,54.956011251023355,110.06272945948973,Clear,1,poor,Daylight,
Urban,237.48621683618774,52.02517303701811,Rainy,2,Good,Night,0.7017848449547713
Highway,119.75390033753955,66.07481349943718,Foggy,1,Good,Night,0.6309082267182073
Highway,349.0027956919668,42.94006266965225,Rainy,2,Fair,Daylight,0.533737664378562
Urban,368.9596692077693,38.34094636173508,Foggy,2,Fair,Daylight,0.7490035984255061
Rural,130.04590795728285,97.78901423921751,Clear,2,poor,Daylight,
Highway,449.8399798360182,40.06641166884424,Foggy,4,Good,Daylight,0.7286740447706179
Urban,248.85853024051664,99.33181713344499,Foggy,1,Good,Night,0.5605495841656882
Highway,114.28065841636568,62.92170518402645,Foggy,4,Fair,Daylight,0.6337937596875264
Highway,393.91321913122795,119.50487234077158,Foggy,2,Good,Night,0.6599632373814559
Highway,405.48852500754776,39.73414181912892,Foggy,5,Fair,Night,1.0
Highway,337.68296269945586,29.2977992512826,Foggy,3,Fair,Night,0.9652273333183886
Rural,434.0594989411489,27.54330696034956,Foggy,1,poor,Daylight,
Highway,381.81783741380207,103.54180047242006,Foggy,1,Fair,Night,0.7461918026061477
Highway,446.9925817521458,63.77763110583434,Foggy,3,Fair,Night,0.8939808838542792
Highway,245.24962181846576,20.312434964737164,Clear,4,Good,Daylight,0.39464333007640007
Rural,386.4187076447491,107.4771362503336,Foggy,3,poor,Daylight,
Highway,499.88820354306995,107.69210069103045,Foggy,5,poor,Night,
Highway,376.21903888382866,100.64166740187909,Rainy,2,poor,Daylight,
Rural,101.38270110670948,44.83184830248425,Rainy,3,Fair,Daylight,0.5103705237812906
Rural,283.2434250931324,57.27527200671731,Rainy,3,poor,Daylight,
Rural,314.30650605936256,94.49262251954836,Foggy,2,Fair,Daylight,0.6332591136135474
Highway,128.39480378212596,68.93531254075853,Clear,1,Fair,Night,0.4307504605895156
Rural,483.3012353801169,35.38265767235525,Clear,5,Fair,Night,0.7928665239568585
Rural,129.01089993557733,44.27982645276724,Rainy,3,Fair,Daylight,0.42381189663634616
Highway,129.90106387095022,117.25895367515574,Rainy,3,poor,Night,
Rural,461.82521208854973,35.10131174271062,Foggy,1,poor,Night,
Highway,259.34244490475197,92.60807566781885,Clear,5,Good,Night,0.42399756124029303
Urban,78.43472567353228,67.8018306659539,Clear,2,poor,Night,
Rural,319.1843749723379,94.86016595521598,Rainy,2,Good,Daylight,0.3769879212519005
Urban,320.8218568848715,86.11132411443931,Clear,4,poor,Daylight,
Highway,79.02534140895281,63.916719055432594,Rainy,5,poor,Daylight,
Rural,487.6351230351479,55.39108246830671,Rainy,5,poor,Night,
Highway,294.813484382559,95.43592543561255,Foggy,3,Fair,Daylight,0.688048334606325
Urban,301.9080749808939,52.314120625982646,Rainy,4,poor,Daylight,
Highway,284.0519365260775,98.77714800885684,Foggy,2,poor,Daylight,
Rural,324.829300840079,87.9843066332452,Clear,5,Good,Night,0.5254461149537325
Rural,168.93488874818973,77.76691702331689,Clear,5,poor,Night,
Urban,179.25860658867836,56.88008849022973,Rainy,1,Fair,Night,0.6541311446543049
Highway,280.10259040825974,40.50813577663749,Rainy,2,poor,Night,
Rural,413.00863464361083,91.04198012406638,Foggy,1,Good,Night,0.7073585929833479
Urban,72.43905942238048,29.134922717058092,Foggy,4,poor,Daylight,
Rural,321.5318954991107,117.05422561557597,Clear,5,poor,Daylight,
Rural,413.0501641278413,117.87479146154875,Clear,4,Good,Night,0.5029545878656032
Highway,120.61277241675222,33.022261595813866,Rainy,1,poor,Daylight,
Rural,56.760143891254835,30.393532297230223,Rainy,2,Good,Daylight,0.3788324530592154
Highway,190.72098281365612,61.27167270830301,Foggy,5,Good,Daylight,0.4799360657943179
Rural,314.66466802831917,116.36832722605021,Rainy,2,Fair,Daylight,0.4760797367664836
Urban,112.22742803213647,60.031089923111296,Foggy,4,Fair,Night,0.7861123289941147
Rural,241.75506693761847,56.380210843233485,Clear,3,Good,Daylight,0.2784358676102403
Highway,298.54467381842505,90.35850589987712,Clear,2,Fair,Night,0.4593977406923756
Highway,319.4973926407927,37.873123659522705,Rainy,2,Fair,Night,0.7515480551337875
Urban,173.48527445016882,56.332348357375146,Foggy,2,Good,Night,0.6811685389381925
Rural,230.01333619383112,49.13074462744878,Rainy,5,poor,Night,
Rural,400.25265308040144,80.15346226306262,Rainy,4,poor,Daylight,
Urban,473.5466123543085,36.27528862141638,Foggy,4,poor,Night,
Rural,437.84614900321577,74.87012556062362,Rainy,5,Fair,Daylight,0.6675765635708903
Rural,303.9275757800443,105.75465899368449,Foggy,2,Fair,Daylight,0.6305826523174095
Highway,234.63176132477594,71.4170546707602,Foggy,2,poor,Night,
Rural,199.8304764671382,88.34966170980852,Rainy,3,Good,Night,0.5447504556794402
Rural,106.23045473780813,27.52480176779329,Foggy,2,Good,Night,0.6398551811454797
Urban,97.94806124725085,64.9005579247043,Clear,1,Good,Night,0.2640937440521338
Urban,359.760931211146,29.489316743585196,Clear,2,Fair,Night,0.7568368627638759
Highway,166.90748727702217,79.9461675786657,Clear,3,poor,Daylight,
Rural,164.59775889460104,48.10543711738185,Clear,1,Good,Daylight,0.25244802147984813
Rural,499.1877745150035,48.726583099174796,Rainy,3,poor,Night,
Rural,134.56668104320795,27.676673714498072,Clear,3,poor,Night,
Highway,116.62689176997334,51.02378614407344,Clear,4,Fair,Night,0.4751116984398509
Highway,94.40835249196428,70.66771771070974,Clear,5,Good,Night,0.4223560487863273
Urban,310.9124053250583,78.46601031717614,Clear,3,Fair,Night,0.5676606684307011
Highway,332.53872170094564,26.666555127582328,Rainy,2,poor,Night,
Rural,214.35256681559687,85.14591857160703,Clear,4,poor,Daylight,
Rural,290.9360009801605,68.88757607534946,Foggy,1,poor,Daylight,
Highway,404.77978892521065,73.69080079142347,Foggy,5,Good,Night,0.7264873650868486
Rural,418.14687574478677,103.27966737677947,Rainy,4,Good,Night,0.7420139950397742
Rural,481.06043407204174,54.222644530486654,Rainy,3,Good,Night,0.8094558190191242
Highway,420.92059366529355,37.40511113650347,Rainy,4,poor,Night,
Highway,304.178646522842,75.18101757069542,Clear,2,poor,Daylight,
Rural,130.8456346265807,114.50219175352387,Rainy,2,Good,Daylight,0.27714426133728426
Rural,94.89360096627908,71.78696191811312,Clear,2,poor,Night,
Rural,74.53035045988665,103.19121741195065,Rainy,5,poor,Daylight,
Urban,349.93662430342266,95.70320544610331,Foggy,4,poor,Night,
Urban,413.3913149290969,71.83307870098315,Foggy,4,Good,Daylight,0.6722110337410142
Urban,278.90777780783554,84.75547776534225,Clear,3,Fair,Daylight,0.3874089433718746
Highway,74.62137867513798,60.66801840966585,Rainy,1,Fair,Night,0.47149898049884975
Urban,290.96175856610216,73.06286890971938,Foggy,2,Fair,Night,0.7098049660558354
Highway,471.0871676860477,70.72857552906348,Clear,1,Good,Daylight,0.43978889747452304
Highway,318.9259359196072,90.9110362957773,Foggy,1,poor,Daylight,
Urban,414.2423698082667,60.998131935628265,Rainy,2,Fair,Daylight,0.6782515530192108
Urban,410.0686917762878,29.976712262214004,Clear,2,Fair,Daylight,0.5765309391981335
Urban,469.45809490129375,98.87095228136228,Foggy,3,Good,Daylight,0.6575435944338937
Rural,396.60294454244297,88.48530033282076,Rainy,5,poor,Night,
Urban,386.4652313058903,115.01234554573654,Clear,2,poor,Night,
Rural,155.34619923678827,62.87161758478628,Foggy,1,Good,Daylight,0.48673773541681403
Highway,76.96631989448665,27.820565691109472,Foggy,3,Fair,Daylight,0.632456154939224
Rural,282.91975927421345,32.161898636324295,Clear,4,poor,Daylight,
Urban,105.99539357603985,97.3319543203078,Rainy,3,poor,Night,
Highway,482.9881443250961,26.775728277860193,Clear,2,Fair,Night,0.8546618014498114
Highway,180.46614318486286,110.78261449292853,Foggy,2,Good,Night,0.6060170383874425
Highway,433.8248915229319,48.16501112951853,Foggy,5,Fair,Daylight,0.8428320853450972
Rural,224.4310813411067,109.88790405793247,Foggy,3,poor,Daylight,
Urban,195.43741243581985,97.3506848800946,Rainy,2,Good,Night,0.4804281304569104
Highway,470.8213575694795,107.120103629169,Foggy,1,Fair,Night,0.8413025631585614
Highway,213.4951574388008,41.40396917699657,Foggy,1,Fair,Night,0.862611205202503
Highway,225.6295588984114,79.56934958135682,Clear,3,Good,Night,0.4890461529284062
Rural,97.74130082580913,29.35891320724226,Foggy,5,poor,Daylight,
Rural,351.70099937712916,40.2280767539376,Clear,3,Good,Night,0.5905092804761131
Urban,179.97773651488106,50.990222733726846,Foggy,5,Good,Daylight,0.5829453040263733
Rural,313.52187552777826,94.08125915100231,Clear,1,poor,Daylight,
Highway,316.10826682394423,22.471437938848332,Clear,2,Fair,Daylight,0.45307796707329784
Urban,373.6398630180952,110.31172828721364,Clear,4,Good,Daylight,0.36856113543430835
Highway,385.35866877759855,27.08035137129217,Clear,2,Good,Daylight,0.4614155232056703
Highway,281.50359548069275,57.64901953446271,Rainy,1,Fair,Daylight,0.5120027818759149
Rural,198.94637642153134,28.108962832858413,Foggy,1,poor,Daylight,
Urban,426.8529026756303,96.89678431033738,Rainy,2,Fair,Night,0.7669647162897094
Rural,189.43954223381812,34.13149734027568,Foggy,2,Fair,Night,0.781724855664579
Rural,278.37909251119913,108.47569102624576,Clear,1,Good,Night,0.3167288297040935
Urban,230.56366244167762,73.02219865915261,Foggy,2,Good,Night,0.6737312861945213
Highway,434.78527368635963,114.8472819455396,Clear,4,poor,Daylight,
Highway,244.36333901562296,49.036091280819534,Foggy,4,Good,Daylight,0.5397678101257427
Urban,223.74463497686793,65.4316151878391,Clear,3,Fair,Daylight,0.3682619733651173
Highway,360.42066180393687,89.4246962329578,Foggy,4,Fair,Daylight,0.7337736271938574
Urban,321.09849943764925,103.19133125709605,Foggy,1,poor,Night,
Urban,98.26107507313074,62.135708774560676,Foggy,1,Good,Daylight,0.44000969917541954
Rural,278.67596285478345,109.24325383271642,Clear,3,Good,Night,0.36965755726964056
Urban,380.96527474996145,31.798720832439525,Foggy,5,poor,Daylight,
Rural,496.43364406611033,90.86847188100954,Clear,3,poor,Night,
Highway,333.1160752866436,54.81989822136604,Rainy,5,Good,Night,0.7065895797300206
Highway,216.63187989859298,30.133548413259696,Foggy,5,poor,Night,
Highway,151.7682199109533,58.666455680200386,Clear,2,Fair,Daylight,0.2484674136434935
Highway,442.77360536899414,108.0215624485568,Clear,4,poor,Night,
Rural,416.55434545107624,118.053387128864,Clear,5,Fair,Night,0.6039114617733126
Highway,155.2652693507232,59.27998571004826,Rainy,2,Fair,Daylight,0.5369766447399108
Urban,140.28444056595805,108.6416387806375,Clear,3,Fair,Daylight,0.3086706792675636
Urban,371.811549565029,70.96544162418783,Rainy,3,Good,Night,0.6008329712648921
Urban,191.72842786344177,91.70150376639415,Rainy,5,Fair,Daylight,0.46635975759059123
Rural,187.87945926288103,24.53714222738232,Clear,2,poor,Night,
Highway,118.53061118044486,75.73119719840234,Foggy,1,Fair,Daylight,0.5193476185851504
Highway,168.78898386942348,27.016193621099042,Rainy,4,Good,Night,0.682506179459589
Highway,242.3784009166923,46.86179570937993,Clear,5,Good,Daylight,0.4242003182822809
Rural,379.777251772587,76.68143258686786,Rainy,1,Good,Daylight,0.4360795784625907
Urban,201.33864248618738,100.71637664216806,Clear,4,Good,Night,0.38845998051382913
Urban,197.87195276592922,76.08936438039106,Clear,1,poor,Night,
Highway,178.21096364859613,113.61915411152101,Rainy,2,Good,Daylight,0.30871372778758277
Urban,265.22765037996936,101.03325075758356,Clear,5,poor,Daylight,
Urban,131.2865140735919,35.62401461051026,Rainy,1,Good,Night,0.5114157368984754
Rural,268.5338303144565,58.89584856279373,Clear,1,Good,Daylight,0.21685097372390394
Rural,366.87900028761044,86.84854273067788,Foggy,1,poor,Daylight,
Rural,63.40572681467998,113.84060316092902,Foggy,5,Fair,Night,0.6292152780160678
Rural,54.40072113759284,118.77158687446709,Rainy,2,poor,Daylight,
Highway,83.80530956952916,96.31864379628071,Rainy,2,Fair,Daylight,0.38995446218262936
Rural,291.04702777765044,77.37693055793639,Rainy,1,poor,Night,
Urban,434.50478743343155,95.66096897379919,Rainy,2,Fair,Night,0.6284502426450278
Highway,52.19800970911337,47.32364194639477,Foggy,4,Good,Daylight,0.4784579586531495
Urban,471.49758706310644,48.36030272596327,Rainy,2,Fair,Daylight,0.6343182755658101
Urban,97.82533020674111,85.43493461623233,Clear,1,Fair,Night,0.36378522993538
Urban,428.8925876262018,107.18355763999104,Clear,4,Good,Night,0.45024532292632974
Rural,267.28464424232607,116.98094891763537,Rainy,5,Good,Night,0.4876030053490471
Rural,346.7108242754798,54.133460083121825,Clear,3,Fair,Night,0.6863268377954368
Highway,279.8073430012321,99.65536231013203,Rainy,2,Fair,Night,0.6647877058946899
Highway,264.6717013307096,105.15308052874937,Clear,4,poor,Daylight,
Rural,425.7047427639762,82.31732430313927,Clear,3,Good,Daylight,0.4226570101927489
Urban,390.14887080551733,54.75918822297629,Rainy,5,Good,Daylight,0.5936979814679251
Highway,267.53100643535186,81.90885652738011,Rainy,3,Good,Night,0.565080696610706
Rural,100.23616822822771,78.44489043115126,Foggy,5,poor,Night,
Rural,101.93133169148366,80.65255057964909,Rainy,1,poor,Night,
Rural,410.692757323584,81.92602137877215,Foggy,1,Fair,Daylight,0.6294137673895065
Urban,288.22577960639006,104.7058190871695,Rainy,5,poor,Daylight,
Rural,266.7151130987132,37.008151326733035,Clear,3,poor,Night,
Rural,356.25507861232177,56.72939476151681,Foggy,2,poor,Daylight,
Rural,436.47871253641716,78.60017273507114,Clear,3,Good,Night,0.48793567890300876
Rural,332.99291498598734,48.33277386116264,Rainy,3,Fair,Daylight,0.6930393328711253
Highway,393.2815560559156,117.81531220840392,Rainy,2,poor,Daylight,
Highway,394.37173585263065,46.315025960232916,Rainy,3,poor,Night,
Rural,210.31765195683158,66.96288806423652,Rainy,3,poor,Night,
Urban,173.33743803844806,107.73650457130682,Foggy,4,Good,Night,0.5776928734580489
Highway,410.5238302288214,28.006366266022624,Foggy,5,Fair,Night,0.9478955735025281
Rural,219.73045630290957,102.06880020942519,Rainy,1,Fair,Night,0.5339744777032356
Highway,456.50120293521735,77.10083689746699,Clear,5,poor,Daylight,
Highway,81.36081352855383,23.18020408196704,Foggy,3,Fair,Daylight,0.6179933686782132
Urban,76.19788043390284,110.29128919667691,Clear,2,Good,Daylight,0.20160746611983643
Rural,467.15187204563375,23.919683545574305,Rainy,2,poor,Night,
Rural,341.8047113816457,71.52177962712929,Foggy,1,Fair,Night,0.7665899004092732
Urban,220.81971040174955,24.903124636568112,Foggy,1,poor,Night,
Urban,389.77718666728225,27.120009847449815,Foggy,1,Good,Daylight,0.6509471110749007
Rural,352.54706449713854,108.72043142578919,Clear,2,poor,Night,
Rural,289.0404710688183,96.58255469624436,Rainy,3,Good,Night,0.5524365182801629
Urban,94.4930041981931,39.69411732448914,Rainy,1,poor,Daylight,
Highway,415.48081428173816,82.04679732142539,Foggy,1,poor,Daylight,
Highway,439.7104358062811,99.46795684312156,Foggy,2,Fair,Night,0.8989908234254066
Urban,127.4759098486921,108.95906413668648,Rainy,3,Fair,Daylight,0.3835959318551398
Highway,432.73024338968,66.83069268391463,Clear,1,Good,Daylight,0.44255055152738815
Urban,445.0312899574539,109.74998774012042,Foggy,3,Good,Night,0.7188623422553159
Highway,297.2428755298322,70.78500727175616,Clear,4,Good,Daylight,0.3924986778214807
Highway,345.28056630020916,88.8228042177691,Clear,1,Fair,Daylight,0.3316439017890353
Rural,222.00679400652112,117.90293594251392,Rainy,1,poor,Night,
Rural,176.8062413791697,43.59517891945268,Rainy,2,Good,Daylight,0.3355026396161637
Highway,374.89241612824014,36.85212760824781,Clear,4,poor,Daylight,
Highway,437.8438170571137,54.20188249778702,Clear,4,poor,Daylight,
Rural,344.3348988300864,36.439902272030935,Rainy,4,Fair,Night,0.7402872116570867
Rural,280.21577479094714,48.416280570487416,Foggy,5,Fair,Night,0.875065885130811
Rural,121.5161450798772,94.2985323370604,Clear,2,poor,Daylight,
Urban,74.05642067216817,67.75240359212873,Foggy,2,Good,Night,0.5730677853835234
Highway,250.5613056110359,57.504129449490186,Clear,1,Fair,Daylight,0.3872398132880322
Rural,72.20730366383957,56.87240052757931,Rainy,2,poor,Daylight,
Highway,306.2005843582513,39.452997490005316,Foggy,1,Fair,Night,0.874998571646028
Urban,222.22813609299706,64.74114542869953,Rainy,1,poor,Night,
Urban,390.73510385688627,82.46355586881762,Clear,5,Fair,Night,0.6179516605536621
Rural,187.54182357628255,33.915483451822375,Rainy,2,Good,Night,0.5066264205427532
Urban,316.84221543534443,117.28128614702146,Foggy,2,Good,Daylight,0.4509148180868266
Highway,291.9575847897952,64.32811764267336,Rainy,5,Fair,Daylight,0.6329541625502899
Rural,52.12059148500852,114.79609167513946,Foggy,5,Fair,Daylight,0.49804816854698253
Highway,82.57522921893965,33.465892662418526,Rainy,2,Fair,Night,0.6778696113873572
Highway,180.66569561870924,96.72159531726803,Rainy,2,Good,Night,0.5803608387606893
Urban,447.0057864593443,81.76380505435449,Foggy,1,Fair,Night,0.8625132249445104
Urban,116.15672970490036,102.00641195433708,Foggy,3,Good,Night,0.5393537904386834
Urban,369.9024487072437,80.06779229552052,Foggy,1,Fair,Daylight,0.6221478705359437
Urban,488.0149547685293,116.28366332428061,Clear,4,Fair,Daylight,0.4696734868333526
Urban,405.75539871101984,82.69318309298576,Rainy,4,poor,Night,
Rural,159.32541275916978,98.46041253444682,Foggy,3,Good,Night,0.5613070020581467
Highway,458.7643671858867,107.75817725333674,Clear,5,Fair,Daylight,0.525485927048829
Highway,91.89822042877553,91.458347121046,Clear,4,Good,Night,0.2784812359405563
Highway,260.6638738418311,72.42366565631603,Foggy,5,poor,Night,
Highway,449.3938584768862,47.28170787634203,Foggy,5,Good,Daylight,0.663374790251657
Urban,338.5695691655914,105.44926133956693,Foggy,1,Good,Daylight,0.4690115547967905
Highway,236.14005412746448,68.05782526886784,Clear,5,Good,Daylight,0.40215264481244517
Rural,181.76579003172594,82.07082263350591,Clear,3,Good,Night,0.3953019843378634
Rural,218.79473239325748,27.92265378809198,Rainy,1,Good,Night,0.5980724463492184
Highway,279.0238014541788,69.73513231268498,Clear,3,Good,Night,0.4747091086524733
Highway,193.56976844276332,89.81576440198451,Foggy,5,Good,Night,0.6921693545215933
Rural,486.03553793703486,78.407190993377,Rainy,4,Fair,Night,0.8571604538755454
Rural,469.8849438797653,64.8554856045705,Rainy,5,Fair,Daylight,0.7352610896413035
Urban,441.80216069644433,42.34273167496692,Rainy,3,Good,Daylight,0.5546432599458855
Rural,239.82342598519404,50.967020009015954,Rainy,2,Good,Daylight,0.37500417016751564
Urban,361.085796200853,90.0624358162301,Foggy,2,Fair,Daylight,0.6928827318755048
Urban,456.27318816618407,42.41906988393989,Rainy,4,poor,Night,
Urban,432.6932694555176,82.17266153088818,Foggy,3,Fair,Daylight,0.7509266795260047
Urban,236.44715630909346,78.97376125562032,Clear,4,poor,Daylight,
Urban,100.57372219501733,117.04174793868637,Foggy,1,Good,Daylight,0.2837392611747577
Highway,84.03366372554726,26.07818424846699,Rainy,5,Good,Daylight,0.42413999394270974
Rural,309.6788203515662,30.812260729606148,Clear,1,Fair,Night,0.5967749053196756
Urban,339.1825708449192,70.6083465645757,Clear,2,Fair,Night,0.5314739405163147
Rural,432.4291720686608,72.71098253536346,Clear,5,Fair,Daylight,0.4931229707813393
Rural,181.63175915346397,23.992765880517123,Rainy,1,Good,Night,0.562328551741919
Urban,125.36172074751912,102.5855420859452,Foggy,2,Fair,Daylight,0.4556985969962208
Highway,220.55262493018975,69.47234981028957,Foggy,1,Fair,Daylight,0.610858309534127
Urban,209.10880563452378,54.66437466405288,Rainy,5,poor,Daylight,
Highway,109.61102930803463,51.88537706148759,Rainy,1,Good,Night,0.42696021850066385
Rural,352.5271936309185,106.14071815541813,Clear,5,Good,Daylight,0.42102082083608267
Highway,278.91137332821916,39.673286642818034,Foggy,1,Good,Night,0.7063047474231127
Highway,374.5052402516448,36.041770543260924,Rainy,4,Fair,Night,0.8411725170058311
Highway,208.71100407638062,41.31785292232831,Rainy,1,Good,Night,0.550195817996118
Rural,196.56599520996602,82.50225476519637,Foggy,1,Fair,Night,0.6998842582357767
Rural,262.659133869735,101.09308556284091,Clear,4,poor,Daylight,
Highway,444.83330542781613,53.097869378817954,Clear,2,Good,Night,0.5007288558844906
Highway,68.12658803029115,37.346199811481284,Clear,5,poor,Daylight,
Urban,412.17476778341245,40.919416762862056,Foggy,3,poor,Daylight,
Highway,216.0444256959904,81.9183778517851,Rainy,2,Good,Night,0.5612535889300861
Urban,434.578561604815,44.60352262142299,Rainy,5,Good,Daylight,0.6973197790716875
Highway,410.99135397613543,107.72802313513668,Rainy,1,Fair,Daylight,0.5082937123931732
Urban,206.94256132823978,30.389135441431396,Rainy,2,poor,Night,
Rural,362.2444408947272,23.23685340055202,Foggy,1,poor,Night,
Highway,121.83474054804806,28.837824596090393,Clear,2,Fair,Night,0.5407255364201233
